"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"2013-10-15","Belarus","Japan","1","0","Friendly","Minsk","Belarus","FALSE"
"2013-10-15","Belgium","Wales","1","1","FIFA World Cup qualification","Brussels","Belgium","FALSE"
"2013-10-15","Brazil","Zambia","2","0","Friendly","Beijing","China PR","TRUE"
"2013-10-15","Bulgaria","Czech Republic","0","1","FIFA World Cup qualification","Sofia","Bulgaria","FALSE"
"2013-10-15","Chile","Ecuador","2","1","FIFA World Cup qualification","Santiago","Chile","FALSE"
"2013-10-15","Costa Rica","Mexico","2","1","FIFA World Cup qualification","San José","Costa Rica","FALSE"
"2013-10-15","Cyprus","Albania","0","0","FIFA World Cup qualification","Nicosia","Cyprus","FALSE"
"2013-10-15","Denmark","Malta","6","0","FIFA World Cup qualification","Copenhagen","Denmark","FALSE"
"2013-10-15","England","Poland","2","0","FIFA World Cup qualification","London","England","FALSE"
"2013-10-15","Faroe Islands","Austria","0","3","FIFA World Cup qualification","Tórshavn","Faroe Islands","FALSE"
"2013-10-15","France","Finland","3","0","FIFA World Cup qualification","Saint-Denis","France","FALSE"
"2013-10-15","Ghana","Egypt","6","1","FIFA World Cup qualification","Kumasi","Ghana","FALSE"
"2013-10-15","Greece","Liechtenstein","2","0","FIFA World Cup qualification","Piraeus","Greece","FALSE"
"2013-10-15","Hong Kong","United Arab Emirates","0","4","AFC Asian Cup qualification","So Kon Po","Hong Kong","FALSE"
"2013-10-15","Hungary","Andorra","2","0","FIFA World Cup qualification","Budapest","Hungary","FALSE"
"2013-10-15","Indonesia","China PR","1","1","AFC Asian Cup qualification","Jakarta","Indonesia","FALSE"
"2013-10-15","Iran","Thailand","2","1","AFC Asian Cup qualification","Tehran","Iran","FALSE"
"2013-10-15","Iraq","Saudi Arabia","0","2","AFC Asian Cup qualification","Amman","Jordan","TRUE"
"2013-10-15","Republic of Ireland","Kazakhstan","3","1","FIFA World Cup qualification","Dublin","Republic of Ireland","FALSE"
"2013-10-15","Israel","Northern Ireland","1","1","FIFA World Cup qualification","Ramat-Gan","Israel","FALSE"
"2013-10-15","Italy","Armenia","2","2","FIFA World Cup qualification","Naples","Italy","FALSE"
"2013-10-15","Jamaica","Honduras","2","2","FIFA World Cup qualification","Kingston","Jamaica","FALSE"
"2013-10-15","Jordan","Oman","0","0","AFC Asian Cup qualification","Amman","Jordan","FALSE"
"2013-10-15","South Korea","Mali","3","1","Friendly","Cheonan","South Korea","FALSE"
"2013-10-15","Kyrgyzstan","Tajikistan","1","4","Friendly","Bishkek","Kyrgyzstan","FALSE"
"2013-10-15","Latvia","Slovakia","2","2","FIFA World Cup qualification","Riga","Latvia","FALSE"
"2013-10-15","Lebanon","Kuwait","1","1","AFC Asian Cup qualification","Beirut","Lebanon","FALSE"
"2013-10-15","Lithuania","Bosnia and Herzegovina","0","1","FIFA World Cup qualification","Kaunas","Lithuania","FALSE"
"2013-10-15","Malaysia","Bahrain","1","1","AFC Asian Cup qualification","Shah Alam","Malaysia","FALSE"
"2013-10-15","Montenegro","Moldova","2","5","FIFA World Cup qualification","Podgorica","Montenegro","FALSE"
"2013-10-15","Norway","Iceland","1","1","FIFA World Cup qualification","Oslo","Norway","FALSE"
"2013-10-15","Panama","United States","2","3","FIFA World Cup qualification","Panama City","Panama","FALSE"
"2013-10-15","Paraguay","Colombia","1","2","FIFA World Cup qualification","Asunción","Paraguay","FALSE"
"2013-10-15","Peru","Bolivia","1","1","FIFA World Cup qualification","Lima","Peru","FALSE"
"2013-10-15","Philippines","Pakistan","3","1","Friendly","Bacolod","Philippines","FALSE"
"2013-10-15","Portugal","Luxembourg","3","0","FIFA World Cup qualification","Coimbra","Portugal","FALSE"
"2013-10-15","Romania","Estonia","2","0","FIFA World Cup qualification","Bucharest","Romania","FALSE"
"2013-10-15","San Marino","Ukraine","0","8","FIFA World Cup qualification","Serravalle","San Marino","FALSE"
"2013-10-15","Scotland","Croatia","2","0","FIFA World Cup qualification","Glasgow","Scotland","FALSE"
"2013-10-15","Serbia","North Macedonia","5","1","FIFA World Cup qualification","Jagodina","Serbia","FALSE"
"2013-10-15","Singapore","Syria","2","1","AFC Asian Cup qualification","Singapore","Singapore","FALSE"
"2013-10-15","Spain","Georgia","2","0","FIFA World Cup qualification","Albacete","Spain","FALSE"
"2013-10-15","Sweden","Germany","3","5","FIFA World Cup qualification","Solna","Sweden","FALSE"
"2013-10-15","Switzerland","Slovenia","1","0","FIFA World Cup qualification","Berne","Switzerland","FALSE"
"2013-10-15","Trinidad and Tobago","New Zealand","0","0","Friendly","Port of Spain","Trinidad and Tobago","FALSE"
"2013-10-15","Turkey","Netherlands","0","2","FIFA World Cup qualification","Istanbul","Turkey","FALSE"
"2013-10-15","Uruguay","Argentina","3","2","FIFA World Cup qualification","Montevideo","Uruguay","FALSE"
"2013-10-15","Uzbekistan","Vietnam","3","1","AFC Asian Cup qualification","Tashkent","Uzbekistan","FALSE"
"2013-10-28","Jordan","Nigeria","1","0","Friendly","Amman","Jordan","FALSE"
"2013-11-01","Indonesia","Kyrgyzstan","4","0","Friendly","Jakarta","Indonesia","FALSE"
"2013-11-06","Jordan","Zambia","1","0","Friendly","Al Wakrah","Qatar","TRUE"
"2013-11-08","Kuwait","Malaysia","3","0","Friendly","Kuwait City","Kuwait","FALSE"
"2013-11-09","Bahrain","Lebanon","1","0","Friendly","Riffa","Bahrain","FALSE"
"2013-11-09","United Arab Emirates","Philippines","4","0","Friendly","Abu Dhabi","United Arab Emirates","FALSE"
"2013-11-13","Jordan","Uruguay","0","5","FIFA World Cup qualification","Amman","Jordan","FALSE"
"2013-11-13","Mexico","New Zealand","5","1","FIFA World Cup qualification","Mexico City","Mexico","FALSE"
"2013-11-14","Belgium","Colombia","0","2","Friendly","Brussels","Belgium","FALSE"
"2013-11-14","Bonaire","Suriname","0","2","ABCS Tournament","Willemstad","Curaçao","TRUE"
"2013-11-14","Curaçao","Aruba","2","0","ABCS Tournament","Willemstad","Curaçao","FALSE"
"2013-11-14","Egypt","Zambia","2","0","Friendly","Cairo","Egypt","FALSE"
"2013-11-15","Argentina","Ecuador","0","0","Friendly","East Rutherford","United States","TRUE"
"2013-11-15","Bahrain","Malaysia","1","0","AFC Asian Cup qualification","Riffa","Bahrain","FALSE"
"2013-11-15","Belarus","Albania","0","0","Friendly","Antalya","Turkey","TRUE"
"2013-11-15","China PR","Indonesia","1","0","AFC Asian Cup qualification","Xi'an","China PR","FALSE"
"2013-11-15","Czech Republic","Canada","2","0","Friendly","Olomouc","Czech Republic","FALSE"
"2013-11-15","Denmark","Norway","2","1","Friendly","Herning","Denmark","FALSE"
"2013-11-15","England","Chile","0","2","Friendly","London","England","FALSE"
"2013-11-15","Estonia","Azerbaijan","2","1","Friendly","Tallinn","Estonia","FALSE"
"2013-11-15","Greece","Romania","3","1","FIFA World Cup qualification","Piraeus","Greece","FALSE"
"2013-11-15","Iceland","Croatia","0","0","FIFA World Cup qualification","Reykjavík","Iceland","FALSE"
"2013-11-15","India","Philippines","1","1","Friendly","Siliguri","India","FALSE"
"2013-11-15","Republic of Ireland","Latvia","3","0","Friendly","Dublin","Republic of Ireland","FALSE"
"2013-11-15","Italy","Germany","1","1","Friendly","Milan","Italy","FALSE"
"2013-11-15","Jamaica","Trinidad and Tobago","0","1","Friendly","Montego Bay","Jamaica","FALSE"
"2013-11-15","South Korea","Switzerland","2","1","Friendly","Seoul","South Korea","FALSE"
"2013-11-15","Kuwait","Lebanon","0","0","AFC Asian Cup qualification","Kuwait City","Kuwait","FALSE"
"2013-11-15","Libya","Niger","1","1","Friendly","Sousse","Tunisia","TRUE"
"2013-11-15","Poland","Slovakia","0","2","Friendly","Wrocław","Poland","FALSE"
"2013-11-15","Portugal","Sweden","1","0","FIFA World Cup qualification","Lisbon","Portugal","FALSE"
"2013-11-15","Russia","Serbia","1","1","Friendly","Dubai","United Arab Emirates","TRUE"
"2013-11-15","Saudi Arabia","Iraq","2","1","AFC Asian Cup qualification","Dammam","Saudi Arabia","FALSE"
"2013-11-15","Scotland","United States","0","0","Friendly","Glasgow","Scotland","FALSE"
"2013-11-15","Eswatini","South Africa","0","3","Friendly","Lobamba","Eswatini","FALSE"
"2013-11-15","Syria","Singapore","4","0","AFC Asian Cup qualification","Tehran","Iran","TRUE"
"2013-11-15","Thailand","Iran","0","3","AFC Asian Cup qualification","Bangkok","Thailand","FALSE"
"2013-11-15","Turkey","Northern Ireland","1","0","Friendly","Adana","Turkey","FALSE"
"2013-11-15","Ukraine","France","2","0","FIFA World Cup qualification","Kyiv","Ukraine","FALSE"
"2013-11-15","United Arab Emirates","Hong Kong","4","0","AFC Asian Cup qualification","Abu Dhabi","United Arab Emirates","FALSE"
"2013-11-15","Vietnam","Uzbekistan","0","3","AFC Asian Cup qualification","Hanoi","Vietnam","FALSE"
"2013-11-15","Yemen","Qatar","1","4","AFC Asian Cup qualification","Al Ain","United Arab Emirates","TRUE"
"2013-11-16","Aruba","Bonaire","1","2","ABCS Tournament","Willemstad","Curaçao","TRUE"
"2013-11-16","Curaçao","Suriname","1","3","ABCS Tournament","Willemstad","Curaçao","FALSE"
"2013-11-16","Equatorial Guinea","Spain","1","2","Friendly","Malabo","Equatorial Guinea","FALSE"
"2013-11-16","Honduras","Brazil","0","5","Friendly","Miami Gardens","United States","TRUE"
"2013-11-16","Netherlands","Japan","2","2","Friendly","Genk","Belgium","TRUE"
"2013-11-16","Nigeria","Ethiopia","2","0","FIFA World Cup qualification","Calabar","Nigeria","FALSE"
"2013-11-16","Senegal","Ivory Coast","1","1","FIFA World Cup qualification","Casablanca","Morocco","TRUE"
"2013-11-16","Uganda","Rwanda","0","0","Friendly","Kampala","Uganda","FALSE"
"2013-11-16","Wales","Finland","1","1","Friendly","Cardiff","Wales","FALSE"
"2013-11-17","Cameroon","Tunisia","4","1","FIFA World Cup qualification","Yaoundé","Cameroon","FALSE"
"2013-11-17","Luxembourg","Montenegro","1","4","Friendly","Luxembourg","Luxembourg","FALSE"
"2013-11-18","Argentina","Bosnia and Herzegovina","2","0","Friendly","St. Louis","United States","TRUE"
"2013-11-18","Italy","Nigeria","2","2","Friendly","London","England","TRUE"
"2013-11-18","Moldova","Lithuania","1","1","Friendly","Chișinău","Moldova","FALSE"
"2013-11-19","Algeria","Burkina Faso","1","0","FIFA World Cup qualification","Blida","Algeria","FALSE"
"2013-11-19","Australia","Costa Rica","1","0","Friendly","Sydney","Australia","FALSE"
"2013-11-19","Austria","United States","1","0","Friendly","Vienna","Austria","FALSE"
"2013-11-19","Bahrain","Yemen","2","0","AFC Asian Cup qualification","Riffa","Bahrain","FALSE"
"2013-11-19","Belgium","Japan","2","3","Friendly","Brussels","Belgium","FALSE"
"2013-11-19","Brazil","Chile","2","1","Friendly","Toronto","Canada","TRUE"
"2013-11-19","Cambodia","Guam","0","2","Friendly","Phnom Penh","Cambodia","FALSE"
"2013-11-19","China PR","Saudi Arabia","0","0","AFC Asian Cup qualification","Xi'an","China PR","FALSE"
"2013-11-19","Croatia","Iceland","2","0","FIFA World Cup qualification","Zagreb","Croatia","FALSE"
"2013-11-19","Egypt","Ghana","2","1","FIFA World Cup qualification","Cairo","Egypt","FALSE"
"2013-11-19","England","Germany","0","1","Friendly","London","England","FALSE"
"2013-11-19","France","Ukraine","3","0","FIFA World Cup qualification","Saint-Denis","France","FALSE"
"2013-11-19","Gibraltar","Slovakia","0","0","Friendly","Faro","Portugal","TRUE"
"2013-11-19","Honduras","Ecuador","2","2","Friendly","Houston","United States","TRUE"
"2013-11-19","Hong Kong","Uzbekistan","0","2","AFC Asian Cup qualification","So Kon Po","Hong Kong","FALSE"
"2013-11-19","India","Nepal","2","0","Friendly","Siliguri","India","FALSE"
"2013-11-19","Indonesia","Iraq","0","2","AFC Asian Cup qualification","Jakarta","Indonesia","FALSE"
"2013-11-19","Kuwait","Thailand","3","1","AFC Asian Cup qualification","Kuwait City","Kuwait","FALSE"
"2013-11-19","Kyrgyzstan","Azerbaijan","0","0","Friendly","Bishkek","Kyrgyzstan","FALSE"
"2013-11-19","Lebanon","Iran","1","4","AFC Asian Cup qualification","Beirut","Lebanon","FALSE"
"2013-11-19","Liechtenstein","Estonia","0","3","Friendly","Vaduz","Liechtenstein","FALSE"
"2013-11-19","Malaysia","Qatar","0","1","AFC Asian Cup qualification","Shah Alam","Malaysia","FALSE"
"2013-11-19","Malta","Faroe Islands","3","2","Friendly","Attard","Malta","FALSE"
"2013-11-19","Namibia","Mozambique","0","0","Friendly","Windhoek","Namibia","FALSE"
"2013-11-19","Netherlands","Colombia","0","0","Friendly","Amsterdam","Netherlands","FALSE"
"2013-11-19","Norway","Scotland","0","1","Friendly","Molde","Norway","FALSE"
"2013-11-19","Poland","Republic of Ireland","0","0","Friendly","Poznań","Poland","FALSE"
"2013-11-19","Romania","Greece","1","1","FIFA World Cup qualification","Bucharest","Romania","FALSE"
"2013-11-19","Russia","South Korea","2","1","Friendly","Dubai","United Arab Emirates","TRUE"
"2013-11-19","Slovenia","Canada","1","0","Friendly","Celje","Slovenia","FALSE"
"2013-11-19","South Africa","Spain","1","0","Friendly","Johannesburg","South Africa","FALSE"
"2013-11-19","Sweden","Portugal","2","3","FIFA World Cup qualification","Solna","Sweden","FALSE"
"2013-11-19","Syria","Oman","0","1","AFC Asian Cup qualification","Tehran","Iran","TRUE"
"2013-11-19","Tanzania","Zimbabwe","0","0","Friendly","Dar es Salaam","Tanzania","FALSE"
"2013-11-19","Trinidad and Tobago","Jamaica","2","0","Friendly","Port of Spain","Trinidad and Tobago","FALSE"
"2013-11-19","Turkey","Belarus","2","1","Friendly","Mersin","Turkey","FALSE"
"2013-11-19","United Arab Emirates","Vietnam","5","0","AFC Asian Cup qualification","Abu Dhabi","United Arab Emirates","FALSE"
"2013-11-20","New Zealand","Mexico","2","4","FIFA World Cup qualification","Wellington","New Zealand","FALSE"
"2013-11-20","Uruguay","Jordan","0","0","FIFA World Cup qualification","Montevideo","Uruguay","FALSE"
"2013-11-24","Singapore","Cambodia","1","0","Friendly","Hougang","Singapore","FALSE"
"2013-11-27","Kenya","Ethiopia","0","0","CECAFA Cup","Nairobi","Kenya","FALSE"
"2013-11-27","Seychelles","Maldives","3","1","Friendly","Victoria","Seychelles","FALSE"
"2013-11-27","Zanzibar","South Sudan","2","1","CECAFA Cup","Nairobi","Kenya","TRUE"
"2013-11-28","Burundi","Somalia","2","0","CECAFA Cup","Machakos","Kenya","TRUE"
"2013-11-28","Tanzania","Zambia","1","1","CECAFA Cup","Machakos","Kenya","TRUE"
"2013-11-29","Seychelles","Maldives","2","1","Friendly","Victoria","Seychelles","FALSE"
"2013-11-29","Sudan","Eritrea","3","0","CECAFA Cup","Machakos","Kenya","TRUE"
"2013-11-29","Uganda","Rwanda","1","0","CECAFA Cup","Nairobi","Kenya","TRUE"
"2013-11-30","Dominica","Saint Lucia","0","1","Friendly","Roseau","Dominica","FALSE"
"2013-11-30","Ethiopia","Zanzibar","3","1","CECAFA Cup","Nairobi","Kenya","TRUE"
"2013-11-30","Kenya","South Sudan","3","1","CECAFA Cup","Nairobi","Kenya","FALSE"
"2013-12-01","Dominica","Saint Lucia","1","0","Friendly","Roseau","Dominica","FALSE"
"2013-12-01","Somalia","Tanzania","0","1","CECAFA Cup","Nairobi","Kenya","TRUE"
"2013-12-01","Zambia","Burundi","1","0","CECAFA Cup","Nairobi","Kenya","TRUE"
"2013-12-02","Eritrea","Uganda","0","3","CECAFA Cup","Machakos","Kenya","TRUE"
"2013-12-02","Sudan","Rwanda","1","0","CECAFA Cup","Machakos","Kenya","TRUE"
"2013-12-03","Kenya","Zanzibar","2","0","CECAFA Cup","Nakuru","Kenya","FALSE"
"2013-12-03","South Sudan","Ethiopia","0","2","CECAFA Cup","Nakuru","Kenya","TRUE"
"2013-12-04","Somalia","Zambia","0","4","CECAFA Cup","Nakuru","Kenya","TRUE"
"2013-12-04","Tanzania","Burundi","1","0","CECAFA Cup","Nakuru","Kenya","TRUE"
"2013-12-05","Rwanda","Eritrea","1","0","CECAFA Cup","Nakuru","Kenya","TRUE"
"2013-12-05","Uganda","Sudan","1","0","CECAFA Cup","Nakuru","Kenya","TRUE"
"2013-12-07","Kenya","Rwanda","1","0","CECAFA Cup","Mombasa","Kenya","FALSE"
"2013-12-07","Uganda","Tanzania","2","2","CECAFA Cup","Mombasa","Kenya","TRUE"
"2013-12-08","Ethiopia","Sudan","0","2","CECAFA Cup","Mombasa","Kenya","TRUE"
"2013-12-08","Zambia","Burundi","4","3","CECAFA Cup","Mombasa","Kenya","TRUE"
"2013-12-10","Kenya","Tanzania","1","0","CECAFA Cup","Nairobi","Kenya","FALSE"
