"1973-11-15","1976-08-10",13,"South Pacific Games"
"1973-11-15","1976-08-10",10,"AFC Asian Cup"
"1973-11-15","1976-08-10",9,"Nordic Championship"
"1973-11-15","1976-08-10",8,"Vietnam Independence Cup"
"1973-11-15","1976-08-10",7,"CONCACAF Championship qualification"
"1973-11-15","1976-08-10",7,"Korea Cup"
"1973-11-15","1976-08-10",4,"UEFA Euro"
"1973-11-15","1976-08-10",4,"Balkan Cup"
"1973-11-15","1976-08-10",2,"Copa Rio Branco"
"1973-11-15","1976-08-10",2,"Copa Newton"
"1973-11-15","1976-08-10",2,"Copa Oswaldo Cruz"
"1973-11-15","1976-08-10",2,"Atlantic Cup"
"1973-11-15","1976-08-10",2,"Copa Roca"
"1973-11-15","1976-08-10",2,"Copa Artigas"
"1973-11-15","1976-08-10",2,"Copa Carlos Dittborn"
"1973-11-15","1976-08-10",2,"Copa Juan Pinto Durán"
"1973-11-15","1976-08-10",2,"Copa Félix Bogado"
"1973-11-15","1976-08-10",1,"Copa Lipton"
"1973-11-15","1976-08-10",402,"Friendly"
"1973-11-15","1976-08-10",104,"UEFA Euro qualification"
"1973-11-15","1976-08-10",46,"Merdeka Tournament"
"1973-11-15","1976-08-10",40,"King's Cup"
"1973-11-15","1976-08-10",38,"African Cup of Nations qualification"
"1973-11-15","1976-08-10",38,"FIFA World Cup"
"1973-11-15","1976-08-10",35,"Gulf Cup"
"1973-11-15","1976-08-10",35,"African Cup of Nations"
"1973-11-15","1976-08-10",31,"AFC Asian Cup qualification"
"1973-11-15","1976-08-10",25,"Copa América"
"1973-11-15","1976-08-10",20,"FIFA World Cup qualification"
"1973-11-15","1976-08-10",18,"British Home Championship"
"1973-11-15","1976-08-10",15,"Kuneitra Cup"
"1973-11-15","1976-08-10",15,"CONCACAF Championship"
"1973-11-15","1976-08-10",15,"Indonesia Tournament"
"1973-11-15","1976-08-10",14,"CECAFA Cup"
"1973-11-15","1976-08-10",14,"Windward Islands Tournament"
"1973-11-15","1976-08-10",14,"Palestine Cup"
"1976-08-11","1979-02-16",414,"Friendly"
"1976-08-11","1979-02-16",189,"FIFA World Cup qualification"
"1976-08-11","1979-02-16",60,"Merdeka Tournament"
"1976-08-11","1979-02-16",38,"FIFA World Cup"
"1976-08-11","1979-02-16",37,"CECAFA Cup"
"1976-08-11","1979-02-16",36,"UEFA Euro qualification"
"1976-08-11","1979-02-16",32,"African Cup of Nations qualification"
"1976-08-11","1979-02-16",29,"CONCACAF Championship qualification"
"1976-08-11","1979-02-16",21,"Korea Cup"
"1976-08-11","1979-02-16",15,"CONCACAF Championship"
"1976-08-11","1979-02-16",15,"African Cup of Nations"
"1976-08-11","1979-02-16",14,"CFU Caribbean Cup qualification"
"1976-08-11","1979-02-16",14,"King's Cup"
"1976-08-11","1979-02-16",13,"Amílcar Cabral Cup"
"1976-08-11","1979-02-16",12,"British Home Championship"
"1976-08-11","1979-02-16",11,"Nordic Championship"
"1976-08-11","1979-02-16",9,"Balkan Cup"
"1976-08-11","1979-02-16",8,"Indonesia Tournament"
"1976-08-11","1979-02-16",7,"Beijing International Friendship Tournament"
"1976-08-11","1979-02-16",6,"CFU Caribbean Cup"
"1976-08-11","1979-02-16",5,"AFC Asian Cup qualification"
"1976-08-11","1979-02-16",4,"Copa Ramón Castilla"
"1976-08-11","1979-02-16",2,"Copa Artigas"
"1976-08-11","1979-02-16",2,"Copa Juan Pinto Durán"
"1976-08-11","1979-02-16",2,"Copa Félix Bogado"
"1976-08-11","1979-02-16",2,"Copa Paz del Chaco"
"1976-08-11","1979-02-16",1,"Copa Carlos Dittborn"
"1976-08-11","1979-02-16",1,"Kirin Cup"
"1976-08-11","1979-02-16",1,"Real Madrid 75th Anniversary Cup"
"1979-02-18","1981-04-11",405,"Friendly"
"1979-02-18","1981-04-11",117,"FIFA World Cup qualification"
"1979-02-18","1981-04-11",72,"UEFA Euro qualification"
"1979-02-18","1981-04-11",49,"African Cup of Nations qualification"
"1979-02-18","1981-04-11",43,"Merdeka Tournament"
"1979-02-18","1981-04-11",39,"CONCACAF Championship qualification"
"1979-02-18","1981-04-11",26,"South Pacific Games"
"1979-02-18","1981-04-11",25,"Copa América"
"1979-02-18","1981-04-11",24,"AFC Asian Cup"
"1979-02-18","1981-04-11",23,"Amílcar Cabral Cup"
"1979-02-18","1981-04-11",22,"CECAFA Cup"
"1979-02-18","1981-04-11",21,"Gulf Cup"
"1979-02-18","1981-04-11",18,"Korea Cup"
"1979-02-18","1981-04-11",16,"African Cup of Nations"
"1979-02-18","1981-04-11",14,"UEFA Euro"
"1979-02-18","1981-04-11",14,"Oceania Nations Cup"
"1979-02-18","1981-04-11",12,"CFU Caribbean Cup qualification"
"1979-02-18","1981-04-11",12,"British Home Championship"
"1979-02-18","1981-04-11",8,"Nordic Championship"
"1979-02-18","1981-04-11",8,"AFC Asian Cup qualification"
"1979-02-18","1981-04-11",7,"Mundialito"
"1979-02-18","1981-04-11",6,"King's Cup"
"1979-02-18","1981-04-11",5,"CFU Caribbean Cup"
"1979-02-18","1981-04-11",4,"Guangzhou International Friendship Tournament"
"1979-02-18","1981-04-11",4,"Copa Paz del Chaco"
"1979-02-18","1981-04-11",2,"Copa Juan Pinto Durán"
"1979-02-18","1981-04-11",2,"Balkan Cup"
"1979-02-18","1981-04-11",1,"FIFA 75th Anniversary Cup"
"1979-02-18","1981-04-11",1,"Kirin Cup"
"1981-04-11","1983-08-14",393,"Friendly"
